CLAIM_CATEGORY,claims,episodes,bed_days,share
Musculoskeletal system and connective tissue,149975176.87,13643,55771,0.2456034153767213
Circulatory,101622737.96000005,8111,36158,0.16642015061295254
Psychiatry,56720766.22000008,22607,108831,0.09288746442680947
Digestive,46934374.309999995,15234,31899,0.07686100373195344
Respiratory,24194045.04999999,3786,22169,0.039620824059497274
Eye,22008854.84999988,8240,8705,0.03604229734882051
Nervous System,17767364.16,2647,14480,0.029096317210683953
Kidney and urinary tract,16984584.639999986,4587,12064,0.027814416248062645
Neoplastic disorders,16670262.349999908,14032,19153,0.027299673544875384
"Skin, subcutaneous tissue and breast",16118051.500000007,3370,9898,0.02639535808682049
Ophthalmology,15054824.599999955,6756,4666,0.02465418889195587
"Endocrine, Nutritional and Metabolic diseases",13406979.969999999,1922,6567,0.021955633853817852
Female Reproductive system,11858394.559999999,2414,4794,0.019419628405207907
"Ear, Nose, Mouth, Throat",10640176.83,2866,4845,0.01742464202542971
Rehabilitation,10616519.049999997,1001,13215,0.017385899403553902
Male Reproductive system,9544734.579999998,2207,4123,0.015630716100066933
Hepatobiliary system and pancreas,8052800.910000001,949,4398,0.013187485076674672
Factors influencing health status,7471008.210000011,4567,7063,0.01223472557911395
General,7439961.660000001,4580,5746,0.01218388290718114
Infectious and Parasitic diseases,5657853.569999998,498,4686,0.009265454387147576
Other,5503809.039999999,2797,5702,0.009013186888767517
"Pregnancy, Childbirth and puerperium",4754565.32,613,2733,0.007786205061361059
Blood disorders,4399337.980000001,1768,4102,0.007204475139383287
Toxic effects of drugs,4270821.95,539,3596,0.006994013804665093
Pre MDC - Major transplant,3767659.470000003,45,953,0.006170021286993055
Palliative Care,3028362.3900000006,297,3549,0.004959328346897856
Colorectal,2927506.4000000004,2049,1617,0.004794163843530263
Orthopaedic,2780234.6599999997,433,1344,0.0045529876496603556
Plastic And Reconstructive Surgery,2648991.6700000004,1406,1473,0.004338060571319963
Error DRGs,1713177.8699999996,102,1433,0.002805546523105871
Cardio-Thoracic,1290422.13,84,322,0.002113230262634885
Neurosurgical,931436.9500000001,261,568,0.001525346400000391
Mental illness,746078.78,63,770,0.001221798835862893
Urological,655965.6399999999,453,556,0.0010742271148873278
Public Hospital,538313.7600000009,186,1171,0.0008815572067295332
Gynaecological,317766.21,149,185,0.0005203825599416774
Hand Surgery,296812.75000000006,174,178,0.0004860686058103193
Other Diagnostic Procedures And Investigations,218418.75,205,214,0.0003576884661974011
"Ear, Nose And Throat",209258.14,110,113,0.0003426868029229223
Vascular,178688.26000000007,28,93,0.0002926247387043578
Assisted Reproductive Services,155297.4,137,89,0.00025431923225659094
Other Therapeutic Procedures,105958.60000000006,131,228,0.00017352067583219832
Chemotherapeutic Procedures,102063.98000000001,163,163,0.00016714274053945564
Alcohol/drug induced disorders,101764.65000000001,12,112,0.00016665254961680423
Haematology,66306.54999999999,85,98,0.00010858540380961471
Procedures Associated With Intensive Care And Cardiopulmonary Support,58211.15999999987,3,64,0.00009532817368459192
Cardiac,33880.969999999994,8,32,0.00005548439496416933
Amputations,29482.650000000038,4,21,0.00004828158689643092
Cardiovascular,24440.75000000001,13,44,0.00004002483477363612
Burns,18257.4,3,14,0.000029898813186836896
Angiography,12801.750000000005,1,11,0.00002096449284753521
Megavoltage,11478.200000000004,1,16,0.00001879701148691223
Hyperbaric Oxygen Therapy,2578.55,2,2,4.222703382897799e-6
