CLAIM_CATEGORY,claims,episodes,bed_days,share
Psychiatry,11261216.440000001,4497,16284,0.5146647696850137
Circulatory,1719944.23,138,557,0.07860560230951552
Digestive,1482357.5799999998,426,1049,0.06774731900113752
Musculoskeletal system and connective tissue,1361585.06,217,477,0.06222772335876137
"Endocrine, Nutritional and Metabolic diseases",956161.6000000001,127,339,0.04369889276772077
Other,731811.2600000002,279,940,0.033445540771508325
Female Reproductive system,498674.8,100,179,0.02279064188643907
"Ear, Nose, Mouth, Throat",466015.15,133,169,0.02129801705902361
"Skin, subcutaneous tissue and breast",438099.12,96,225,0.020022187114095393
Kidney and urinary tract,388826.26,92,222,0.017770298494536818
Nervous System,358083.13999999996,62,211,0.016365263713569694
Hepatobiliary system and pancreas,295005.17,39,91,0.013482448249075506
Respiratory,291717.51,100,225,0.013332194252474174
Neoplastic disorders,189269.78000000003,145,156,0.008650085739053003
General,143329.02,97,96,0.006550482131349455
Male Reproductive system,130972.47,46,73,0.005985757974440225
Factors influencing health status,124445.20000000001,67,94,0.005687445982203808
Blood disorders,120258.55,64,89,0.005496105972935523
Cardio-Thoracic,114842.07999999975,3,30,0.005248560221558781
Pre MDC - Major transplant,114062.73000000004,1,16,0.005212942045636939
Toxic effects of drugs,103221.02999999997,14,41,0.004717450189741658
Plastic And Reconstructive Surgery,80562.70000000001,36,36,0.003681909824006798
Colorectal,75018.65,54,34,0.003428533358722182
Eye,70444.27,21,21,0.0032194731526871286
Infectious and Parasitic diseases,60997.84999999999,8,52,0.002787748960229647
Palliative Care,58132.94999999998,4,66,0.002656816115938218
Rehabilitation,48431.49999999997,4,56,0.0022134364369787145
Orthopaedic,47202.920000000006,15,15,0.0021572873658629484
Urological,25632.85000000001,9,23,0.0011714831085886232
Ophthalmology,24739.67,29,7,0.001130662626943812
Gynaecological,21887.35,9,10,0.0010003047190135779
Mental illness,20822.400000000005,3,19,0.0009516339338105495
"Ear, Nose And Throat",18299.949999999997,7,9,0.0008363518810048966
Haematology,11920.250000000007,5,15,0.0005447841939212198
Other Therapeutic Procedures,8313.26,14,14,0.0003799360456330628
Public Hospital,8173.04,6,12,0.0003735276532191761
Other Diagnostic Procedures And Investigations,5325.349999999999,5,5,0.00024338134746321307
Vascular,3183.1499999999996,1,1,0.00014547763737172707
Error DRGs,1000.0,1,1,0.000045702413449484654
Cardiovascular,696.25,1,1,0.000031820305364203694
