CLAIM_CATEGORY,claims,services,share,avg_benefit_per_service
DENTAL,345059752.74,4688349,0.6473873714398973,73.59941692480658
OPTICAL SPECS,56730973.69,704238,0.10643639440635816,80.55653584441623
PHYSIOTHERAPY,35826122.14,1386291,0.06721554413961268,25.84314703045753
AMBULANCE,25848668.79,36890,0.04849624336161752,700.6958197343454
CHIROPRACTIC/OSTEOPATHY,21213299.16,1011377,0.03979954739348713,20.97467033559197
HEARING/APPLIANCES/COURSES/EQUIPMENT,11774245.120000001,84072,0.022090369967514973,140.04954229707872
PODIATRY,10394229.51,293107,0.019501239617743055,35.46223566820308
CONTACT LENSES,6704745.98,68286,0.01257917749519459,98.18624578976657
PHARMACEUTICAL,6059279.399999999,200357,0.011368178793490424,30.24241429049147
EYE/SPEECH/OCCUPATIONAL/DIETETICS,5978228.56,170318,0.011216114434074586,35.1003919726629
NATURAL THERAPIES,5411825.2,183092,0.01015345099826839,29.557955563323357
PSYCHOLOGY,1988888.55,33918,0.003731473520882025,58.63814346364762
EXTRAS OTHER,5178.6,23,9.715883162603382e-6,225.15652173913045
Hospital General Treatment,4700.4,3,8.818703359498886e-6,1566.8
EXT.MISCELLANEOUS,3389.82,30,6.35984533701313e-6,112.994
