CLAIM_CATEGORY,claims,episodes,bed_days,share,avg_benefit_per_episode
Musculoskeletal system and connective tissue,343210894.0300001,35289,117975,0.23465703445330638,9725.718893422882
Circulatory,205224440.31000012,16756,64108,0.14031418989944644,12247.818113511585
Psychiatry,153806565.60000014,69419,277752,0.10515922772541474,2215.6263501346916
Digestive,121951287.70999995,43145,77954,0.08337942652627206,2826.545085409664
"Endocrine, Nutritional and Metabolic diseases",54515078.64999999,7225,18831,0.03727255431431491,7545.339605536331
Respiratory,50564068.89999996,10103,42284,0.03457120582229977,5004.85686429773
Eye,44055874.32999981,16425,17127,0.03012148215674545,2682.2450124809625
"Skin, subcutaneous tissue and breast",42492340.99000001,9196,22993,0.029052477345956562,4620.741734449762
Female Reproductive system,41059912.18,8970,16314,0.02807311013335666,4577.470700111483
Nervous System,39578934.39999999,6471,28014,0.027060549460047538,6116.355184670065
"Ear, Nose, Mouth, Throat",38992544.72,11793,15873,0.02665962843528894,3306.414374629017
Kidney and urinary tract,37094157.37999996,10632,23897,0.025361680289711804,3488.9162321294166
Neoplastic disorders,34139737.72999987,30060,38452,0.02334171132701624,1135.7198180306011
Ophthalmology,29795337.41999994,13093,9167,0.02037139741520463,2275.669244634533
Male Reproductive system,25310079.509999998,6475,10627,0.017304777624788475,3908.892588416988
Hepatobiliary system and pancreas,20643348.35,2725,9365,0.014114082592536041,7575.540678899083
Other,20305417.509999998,11150,19040,0.013883035588655727,1821.1136780269057
General,18939818.220000006,11619,13179,0.01294936044833536,1630.073002840176
Factors influencing health status,17913501.23000002,11700,15678,0.012247656319848723,1531.0684811965828
Rehabilitation,17411875.619999997,1714,21674,0.011904689414963277,10158.620548424737
"Pregnancy, Childbirth and puerperium",17064337.43,2199,9862,0.011667073761022115,7760.044306502956
Infectious and Parasitic diseases,12487996.029999997,1118,10706,0.008538179194301205,11169.942781753129
Toxic effects of drugs,10712675.5,1549,6912,0.007324373170016158,6915.865397030342
Blood disorders,9040499.580000002,3995,7795,0.006181088241428983,2262.95358698373
Colorectal,8507446.4,6046,4280,0.005816633963897306,1407.119814753556
Orthopaedic,7714208.81,1456,3045,0.005274288765291758,5298.220336538461
Pre MDC - Major transplant,7321422.480000004,91,1963,0.005005736464141492,80455.19208791213
Plastic And Reconstructive Surgery,7158163.440000001,3595,3677,0.004894114476493437,1991.1442114047293
Palliative Care,5429703.790000001,537,6431,0.003712347747358823,10111.180242085662
Error DRGs,3426412.6599999997,225,2553,0.0023426757355160897,15228.50071111111
Cardio-Thoracic,3134814.4799999995,207,883,0.002143306877006603,15144.031304347824
Neurosurgical,2749617.0999999996,701,1503,0.0018799432238060072,3922.4209700427955
Urological,1931746.3699999996,1295,1612,0.0013207560785075683,1491.6960386100384
Gynaecological,1578624.04,816,1012,0.001079322487096572,1934.5882843137256
Mental illness,1346317.2799999998,128,1328,0.0009204918196169695,10518.103749999998
"Ear, Nose And Throat",1086744.22,518,564,0.0007430188852110882,2097.9618146718144
Public Hospital,954640.000000001,532,2171,0.0006526977880571695,1794.436090225566
Hand Surgery,742252.7100000001,432,451,0.0005074862796409528,1718.1775694444445
Assisted Reproductive Services,710880.7500000001,588,308,0.0004860369281586999,1208.980867346939
Other Diagnostic Procedures And Investigations,606443.25,638,664,0.0004146318694557117,950.5380094043887
Vascular,597843.6,93,302,0.00040875219488407645,6428.4258064516125
Chemotherapeutic Procedures,367899.8700000001,524,543,0.0002515371568083466,702.0989885496185
Other Therapeutic Procedures,262557.75000000006,430,561,0.00017951359953727807,610.5994186046513
Haematology,136789.43,176,199,0.00009352442637077947,777.2126704545454
Alcohol/drug induced disorders,135776.09000000003,18,136,0.0000928315947520019,7543.116111111112
Cardiac,108072.75999999994,23,57,0.00007389052564446621,4698.81565217391
Procedures Associated With Intensive Care And Cardiopulmonary Support,72979.95999999988,5,78,0.00004989719524061486,14595.991999999975
Paediatric,64137.3899999999,6,65,0.00004385143361346676,10689.564999999982
Cardiovascular,35128.59000000001,25,56,0.000024017800417505222,1405.1436000000003
Amputations,29482.650000000038,4,21,0.00002015760961311459,7370.6625000000095
Angiography,25950.750000000007,3,30,0.00001774281103182831,8650.250000000002
Burns,25347.15,4,15,0.00001733012312343215,6336.7875
Megavoltage,11478.200000000004,1,16,7.84777062649564e-6,11478.200000000004
Forearm Wrist And Hand,6423.049999999999,1,1,4.391509393677824e-6,6423.049999999999
Dialysis,6183.95,16,16,4.228034113860857e-6,386.496875
Hyperbaric Oxygen Therapy,5653.6,7,7,3.865428030000848e-6,807.657142857143
Operations For Osteomyelitis,4592.2,2,2,3.1397372646402102e-6,2296.1
